caseid,time,activity
1,75,arrival
1,75,join_queue
1,75,begin_service
1,353,end_service
2,482,arrival
2,482,join_queue
2,482,begin_service
2,568,end_service
3,1093,arrival
3,1093,join_queue
3,1093,begin_service
4,1136,arrival
4,1136,join_queue
4,1136,renege
3,1167,end_service
5,1198,arrival
5,1198,join_queue
5,1198,renege
6,2446,arrival
6,2446,join_queue
6,2446,renege
7,2730,arrival
7,2730,join_queue
7,2730,renege
8,2812,arrival
8,2812,join_queue
8,2812,begin_service
8,2872,end_service
9,2880,arrival
9,2880,join_queue
9,2880,begin_service
9,2940,end_service
10,3027,arrival
10,3027,join_queue
10,3027,begin_service
10,3181,end_service
11,3751,arrival
11,3751,join_queue
11,3751,begin_service
11,3997,end_service
12,4241,arrival
12,4241,join_queue
12,4241,begin_service
12,4413,end_service
13,4864,arrival
13,4864,join_queue
13,4864,begin_service
14,4889,arrival
14,4889,join_queue
14,4889,begin_service
13,4938,end_service
14,5095,end_service
15,5901,arrival
15,5901,join_queue
15,5901,begin_service
15,5992,end_service
16,6368,arrival
16,6368,join_queue
16,6368,begin_service
16,6466,end_service
17,6845,arrival
17,6845,join_queue
17,6845,renege
18,7947,arrival
18,7947,join_queue
18,7947,renege
19,8358,arrival
19,8358,join_queue
19,8358,begin_service
20,8437,arrival
20,8437,join_queue
20,8437,renege
19,8610,end_service
21,9304,arrival
21,9304,join_queue
21,9304,begin_service
21,9421,end_service
22,9489,arrival
22,9489,join_queue
22,9489,begin_service
22,9623,end_service
23,10042,arrival
23,10042,join_queue
23,10042,begin_service
24,10185,arrival
24,10185,join_queue
24,10185,begin_service
23,10240,end_service
24,10245,end_service
25,10766,arrival
25,10766,join_queue
25,10766,begin_service
25,10834,end_service
26,14098,arrival
26,14098,join_queue
26,14098,begin_service
26,14235,end_service
27,14370,arrival
27,14370,join_queue
27,14370,begin_service
