caseid,time,activity
1,11,arrival
1,11,join_queue
1,11,begin_service
2,69,arrival
2,69,join_queue
3,156,arrival
3,156,join_queue
4,199,arrival
4,199,join_queue
5,205,arrival
5,205,join_queue
6,242,arrival
6,242,join_queue
7,251,arrival
7,251,join_queue
8,429,arrival
8,429,balk
9,470,arrival
9,470,balk
10,482,arrival
10,482,balk
1,491,end_service
2,491,begin_service
11,492,arrival
11,492,join_queue
12,513,arrival
12,513,balk
13,522,arrival
13,522,balk
2,564,end_service
3,564,begin_service
14,625,arrival
14,625,join_queue
15,695,arrival
15,695,balk
16,818,arrival
16,818,balk
3,871,end_service
4,871,begin_service
17,907,arrival
17,907,join_queue
18,911,arrival
18,911,balk
19,948,arrival
19,948,balk
20,1093,arrival
20,1093,balk
21,1196,arrival
21,1196,balk
4,1216,end_service
5,1216,begin_service
22,1263,arrival
22,1263,join_queue
23,1331,arrival
23,1331,balk
24,1380,arrival
24,1380,balk
5,1398,end_service
6,1398,begin_service
25,1537,arrival
25,1537,join_queue
26,1548,arrival
26,1548,balk
6,1633,end_service
7,1633,begin_service
27,1674,arrival
27,1674,join_queue
28,1700,arrival
28,1700,balk
29,1758,arrival
29,1758,balk
30,1837,arrival
30,1837,balk
31,1904,arrival
31,1904,balk
32,1924,arrival
32,1924,balk
33,2023,arrival
33,2023,balk
34,2106,arrival
34,2106,balk
7,2113,end_service
11,2113,begin_service
35,2124,arrival
35,2124,join_queue
36,2158,arrival
36,2158,balk
37,2197,arrival
37,2197,balk
38,2265,arrival
38,2265,balk
39,2338,arrival
39,2338,balk
40,2441,arrival
40,2441,balk
41,2448,arrival
41,2448,balk
42,2454,arrival
42,2454,balk
11,2593,end_service
14,2593,renege
17,2593,begin_service
43,2604,arrival
43,2604,join_queue
44,2686,arrival
44,2686,join_queue
45,2737,arrival
45,2737,balk
46,2754,arrival
46,2754,balk
17,2819,end_service
22,2819,begin_service
22,2879,end_service
25,2879,renege
27,2879,begin_service
47,2920,arrival
47,2920,join_queue
48,2924,arrival
48,2924,join_queue
49,2962,arrival
49,2962,join_queue
50,3065,arrival
50,3065,balk
51,3089,arrival
51,3089,balk
52,3115,arrival
52,3115,balk
27,3145,end_service
35,3145,begin_service
53,3151,arrival
53,3151,join_queue
54,3197,arrival
54,3197,balk
55,3243,arrival
55,3243,balk
35,3309,end_service
43,3309,begin_service
56,3368,arrival
56,3368,join_queue
43,3376,end_service
44,3376,begin_service
57,3602,arrival
57,3602,join_queue
58,3629,arrival
58,3629,balk
59,3650,arrival
59,3650,balk
60,3678,arrival
60,3678,balk
61,3682,arrival
61,3682,balk
44,3820,end_service
47,3820,renege
48,3820,renege
49,3820,begin_service
62,3830,arrival
62,3830,join_queue
63,3873,arrival
63,3873,join_queue
49,3888,end_service
53,3888,renege
56,3888,begin_service
64,3912,arrival
64,3912,join_queue
56,3959,end_service
57,3959,begin_service
65,4017,arrival
65,4017,join_queue
57,4097,end_service
62,4097,begin_service
66,4147,arrival
66,4147,join_queue
62,4157,end_service
63,4157,begin_service
67,4209,arrival
67,4209,join_queue
68,4255,arrival
68,4255,join_queue
63,4336,end_service
69,4336,arrival
69,4336,join_queue
64,4336,renege
65,4336,begin_service
70,4375,arrival
70,4375,join_queue
71,4496,arrival
71,4496,join_queue
72,4514,arrival
72,4514,balk
73,4579,arrival
73,4579,balk
74,4581,arrival
74,4581,balk
75,4654,arrival
75,4654,balk
76,4699,arrival
76,4699,balk
77,4754,arrival
77,4754,balk
65,4816,end_service
66,4816,renege
67,4816,renege
68,4816,begin_service
78,4834,arrival
78,4834,join_queue
79,4840,arrival
79,4840,join_queue
80,4856,arrival
80,4856,join_queue
81,4875,arrival
81,4875,balk
68,4908,end_service
69,4908,begin_service
69,4968,end_service
70,4968,renege
71,4968,begin_service
82,5084,arrival
82,5084,join_queue
83,5112,arrival
83,5112,join_queue
84,5167,arrival
84,5167,join_queue
85,5173,arrival
85,5173,balk
86,5175,arrival
86,5175,balk
87,5175,arrival
87,5175,balk
88,5196,arrival
88,5196,balk
71,5243,end_service
78,5243,renege
79,5243,begin_service
89,5285,arrival
89,5285,join_queue
90,5400,arrival
90,5400,join_queue
91,5525,arrival
91,5525,balk
92,5543,arrival
92,5543,balk
93,5655,arrival
93,5655,balk
94,5691,arrival
94,5691,balk
95,5721,arrival
95,5721,balk
79,5723,end_service
80,5723,begin_service
96,5776,arrival
96,5776,join_queue
80,5823,end_service
82,5823,begin_service
97,5864,arrival
97,5864,join_queue
98,6060,arrival
98,6060,balk
